Name,التقنيات,الرخصة,الشعار,الكود المصدري,الوصف بالإنجليزية,الوصف بالعربية,حالة البيانات,حالة المشروع,روابط,زمن آخر تعديل,مسؤول البيانات,مفتوح المصدر,نوع المبادرة,وسوم
Iqra,"CSS, Express.JS, Flask, HTML, Java, Node.JS, Python, ReactJS, Speech recognition",MIT,230x0w.webp,https://github.com/Crescent-Labs,Iqra is an open-source platform that allows users to search the Quran using speech recognition technology. The platform provides seamless access to Quranic texts through mobile and web applications.,منصة مفتوحة المصدر تمكّن المستخدمين من البحث في القرآن الكريم باستخدام تقنيات التعرف على الصوت عبر تطبيقات مختلفة للأجهزة المحمولة والويب. تتيح المنصة للمسلمين الوصول إلى النصوص القرآنية بسهولة عبر تكنولوجيا البحث الصوتي.,اكتمل ✅,متوقف صيانته 😑,"https://github.com/Crescent-Labs/iqra-web, https://github.com/Crescent-Labs/iqra-api, https://github.com/Crescent-Labs/iqra-ios, https://github.com/Crescent-Labs/iqra-android, https://apps.apple.com/us/app/tarteel-%D8%AA%D8%B1%D8%AA%D9%8A%D9%84-memorize-quran/id1391009396, https://play.google.com/store/apps/details?id=com.mmmoussa.iqra",٢٤ أكتوبر ٢٠٢٤ ١٢:٢٠ ص,Abd El-Rahman Bayoumi,Yes,"RESTful API, تطبيق iOS, تطبيق أندرويد, تطبيق ويب",القرآن الكريم
PyQuran,"Data Analysis, Python",GNU General Public License v2.0,book.png,https://github.com/hci-lab/PyQuran," Python package that provides tools for Quranic analysis and Arabic texts. It allows users to retrieve Quranic text, perform advanced searches, transliterate between different alphabetical systems, and generate word frequency tables.",هي حزمة بايثون توفر أدوات لتحليل القرآن الكريم والنصوص العربية. تتيح للمستخدمين استرجاع نصوص القرآن، البحث المتقدم، التحويل بين أنظمة الأبجدية المختلفة، وإنشاء جداول تكرار الكلمات.,اكتمل ✅,نشط 🚀,https://hci-lab.github.io/PyQuran-Private/,١ نوفمبر ٢٠٢٤ ٨:٣٠ م,Abd El-Rahman Bayoumi,Yes,مكتبة برمجية,"القرآن الكريم, اللغة عربية"
HadithHouseApi,"Angular, Backend, Django, Elasticsearch, Grunt, Jenkins, PostgreSQL, Python, TypeScript",MIT,manuscript.png,https://github.com/hadithhouse/HadithHouseApi,"HadithHouseApi serves as the backend for the Hadith House project, which aims to collect and classify the sayings of Prophet Muhammad (Hadith). This project provides APIs that allow developers to access the Hadith database, including details of the chain of narration (Isnad) and the text (Matn), with capabilities for search and filtering.",يُعد مشروع HadithHouseApi بمثابة الواجهة الخلفية لمشروع Hadith House، الذي يهدف إلى جمع وتصنيف الأحاديث النبوية الشريفة. يوفر هذا المشروع واجهات برمجة تطبيقات (APIs) تُمكّن المطورين من الوصول إلى قاعدة بيانات الأحاديث، بما في ذلك تفاصيل السند والمتن، مع إمكانية البحث والتصفية.,اكتمل ✅,ميت ☠️,https://github.com/hadithhouse/HadithHouseWeb,٣ نوفمبر ٢٠٢٤ ٣:٢٣ م,Abd El-Rahman Bayoumi,Yes,RESTful API,"إسلام, الحديث النبوي"
"Alfanous ",Python,AGPL-3.0 License,1835951.png,https://github.com/Alfanous-team/alfanous,"Alfanous is an Arabic search engine API provides the simple and advanced search in Quran , more features and many interfaces…",الفانوس هو محرك بحث عربي يوفر API ادوات متقدمة للبحث في القرآن,اكتمل ✅,متوقف صيانته 😑,http://www.alfanous.org/,٢ نوفمبر ٢٠٢٤ ١:٥٨ م,"ezz ",Yes,"CLI, تطبيق ويب, مكتبة برمجية",القرآن الكريم
مصحف البشير الالكتروني (مبني على مصحف عثمان الالكتروني),Python,رخصة وقف من أعجوبة,albasheer-128.png,https://github.com/yucefsourani/albasheer-electronic-quran-browser,"Albasheer Electronic Quran Browser is an open-source application for displaying the Holy Quran, based on the Othman Electronic Quran Browser project. It features a modern user interface, dark mode support, customizable background and text colors, and supports audio recitations, translations, and tafsir.",مصحف البشير الإلكتروني هو تطبيق مفتوح المصدر لعرض القرآن الكريم، مبني على مشروع مصحف عثمان الإلكتروني. يتميز بواجهة مستخدم حديثة، دعم الوضع الليلي، إمكانية تغيير ألوان الخلفية والنص، ودعم التلاوة الصوتية والترجمات والتفاسير.,اكتمل ✅,نشط 🚀,,١ نوفمبر ٢٠٢٤ ٨:٥٩ م,Abd El-Rahman Bayoumi,Yes,برنامج سطح المكتب 💻,القرآن الكريم
قاعدة بيانات القرآن الكريم (Quran Database),"Database, SQLite",NONE ❌,68747470733a2f2f312e62702e626c6f6773706f742e636f6d2f2d4b5545456d76626259714d2f587272686e756b794835492f41414141414141414f52512f6e354b476b572d47696b5562505f7747774751485433446d422d4b2d485a442d67434b34424741735948672f.png,https://github.com/bilalbentoumi/quran-database,"This project offers a comprehensive SQLite database of the Holy Quran, including information about Surahs such as their Arabic names, English pronunciations, classifications (Meccan or Medinan), number of verses, and content.",يوفر هذا المشروع قاعدة بيانات شاملة للقرآن الكريم بصيغة SQLite، تحتوي على معلومات حول السور، بما في ذلك أسماؤها بالعربية، نطقها بالإنجليزية، تصنيفها (مكية أو مدنية)، عدد الآيات، ومحتوى السور.,اكتمل ✅,متوقف صيانته 😑,,١ نوفمبر ٢٠٢٤ ٩:٢٦ م,Abd El-Rahman Bayoumi,Yes,"قاعدة بيانات, مصادر",القرآن الكريم
قُطُوْف (Qutuf),"HTML, NLP, Python",NONE ❌,46610768.png,https://github.com/Qutuf/Qutuf,"An Arabic Morphological Analyzer and Part-Of-Speech Tagger, including stemming and root extraction, serving as the core for Arabic NLP framework.",نظام لتحليل الصرف العربي واستخراج الجذور وتحديد أجزاء الكلام، يُستخدم كإطار عمل شامل لمعالجة اللغة العربية,اكتمل ✅,ميت ☠️,,١ نوفمبر ٢٠٢٤ ٨:٥٥ م,Abd El-Rahman Bayoumi,Yes,"تطبيق ويب, مكتبة برمجية","القرآن الكريم, اللغة عربية, تحليل صرفي, قواعد لغوية, معالجة اللغة الطبيعية"
quran-tajweed,"Dataset, Decision trees, Python, Speech recognition",NONE ❌,687474703a2f2f692e696d6775722e636f6d2f76475957375a592e706e67.png,https://github.com/cpfair/quran-tajweed,"Tajweed annotations for the Qur'an (riwayat hafs). The data is available as a JSON file with exact character indices for each rule, and as individual decision trees for each rule. You can use this data to display the Qur'an with tajweed highlighting, refine models for Qur'anic speech recognition, or - if you enjoy decision trees - improve your own recitation. This project is not actively maintained. An alternative to it is the https://quran.api-docs.io/v4/quran/get-uthmani-script-of-ayah instead.",توضيحات التجويد للقرآن (رواية حفص). تتوفر البيانات كملف JSON يحتوي على مواقع الحروف الدقيقة لكل قاعدة تجويد، وأيضًا كأشجار قرار منفصلة لكل قاعدة. يمكنك استخدام هذه البيانات لعرض القرآن مع تلوين التجويد، تحسين نماذج التعرف على الصوت القرآني، أو - إذا كنت تستمتع بأشجار القرار - تحسين تلاوتك. هذا المشروع توقف العمل عليه. والبديل له مثلا هو واجهة API الخاصة بموقع Quran.com.,اكتمل ✅,متوقف صيانته 😑,,٣ نوفمبر ٢٠٢٤ ٣:٢٢ م,Abd El-Rahman Bayoumi,Yes,"سكريبت برمجي, قاعدة بيانات, مصادر","القرآن الكريم, تجويد, تعليم, قواعد لغوية, معالجة اللغة الطبيعية"
اكتشاف الآيات (ayah-detection),"Image processing, Matplotlib, NumPy, OpenCV, Python",NONE ❌,book%201.png,https://github.com/quran/ayah-detection,"A set of scripts for detecting ayah markers in Quran images. Tested on three sets of images: Shamerly, Qaloon, and Warsh.",مجموعة من السكريبتات لاكتشاف علامات الآيات في صور القرآن الكريم. تم اختبارها على ثلاث مجموعات من الصور: الشمرلي، قالون، وورش.,اكتمل ✅,نشط 🚀,,١ نوفمبر ٢٠٢٤ ٨:٤٣ م,Abd El-Rahman Bayoumi,Yes,"سكريبت برمجي, مكتبة برمجية",القرآن الكريم
tajweed,"Java, Utility functions",NONE ❌,koran.png,https://github.com/quran/tajweed,"An open-source project to develop algorithms for highlighting Tajweed rules in Quranic text with color coding, similar to tajweed Mushafs. It supports both Madani and Naskh Mushaf styles and aims to provide educational tools for other projects, including data export options in text, image, and HTML formats.",مشروع مفتوح المصدر لتطوير خوارزميات تمييز أحكام التجويد في النصوص القرآنية بألوان مختلفة كما هو الحال في المصاحف التجويدية، مع دعم لمصحف المدينة ومصحف النسخ. يهدف المشروع لإنتاج أدوات تعليمية يمكن استخدامها من قبل مشاريع أخرى، ويشمل ميزات لتصدير البيانات بصيغ نصية وصورية وHTML.,اكتمل ✅,ميت ☠️,,١ نوفمبر ٢٠٢٤ ٨:٤١ م,Abd El-Rahman Bayoumi,Yes,سكريبت برمجي,"القرآن الكريم, اللغة عربية, تجويد"
