Name,التقنيات,الرخصة,الكود المصدري,الوصف بالإنجليزية,الوصف بالعربية,حالة المشروع,روابط,مفتوح المصدر,نوع المبادرة,وسوم
Iqra,"CSS, Express.JS, Flask, HTML, Java, JavaScript, Node.JS, Python, ReactJS, Speech recognition, Swift","GPL-3.0 License, MIT",https://github.com/Crescent-Labs,Iqra is an open-source platform that allows users to search the Quran using speech recognition technology. The platform provides seamless access to Quranic texts through mobile and web applications.,منصة مفتوحة المصدر تمكّن المستخدمين من البحث في القرآن الكريم باستخدام تقنيات التعرف على الصوت عبر تطبيقات مختلفة للأجهزة المحمولة والويب. تتيح المنصة للمسلمين الوصول إلى النصوص القرآنية بسهولة عبر تكنولوجيا البحث الصوتي.,ميت ☠️,"https://github.com/Crescent-Labs/iqra-web, https://github.com/Crescent-Labs/iqra-api, https://github.com/Crescent-Labs/iqra-ios, https://github.com/Crescent-Labs/iqra-android",Yes,"RESTful API, تطبيق iOS, تطبيق أندرويد, تطبيق ويب","أصوات, القرآن الكريم"
PyQuran,"Data Analysis, Python",GNU General Public License v2.0,https://github.com/hci-lab/PyQuran,"Python package that provides tools for Quranic analysis and Arabic texts. It allows users to retrieve Quranic text, perform advanced searches, transliterate between different alphabetical systems, and generate word frequency tables.",هي حزمة بايثون توفر أدوات لتحليل القرآن الكريم والنصوص العربية. تتيح للمستخدمين استرجاع نصوص القرآن، البحث المتقدم، التحويل بين أنظمة الأبجدية المختلفة، وإنشاء جداول تكرار الكلمات.,متوقف صيانته 😑,"https://hci-lab.github.io/PyQuran-Private/, https://pypi.org/project/pyquran/",Yes,مكتبة برمجية,"القرآن الكريم, اللغة عربية"
Alfanous,Python,LGPL-3.0 License,https://github.com/Alfanous-team/alfanous,"Alfanous is a Quranic search engine API that provides simple and advanced search capabilities for the Holy Qur'an. It enables developers to build applications that search through Quranic text in Arabic, with support for Buckwalter transliteration, advanced query syntax, and rich metadata. Features include faceted search, morphological filtering, MCP server support, and a RESTful web service.",الفانوس هو محرك بحث قرآني متقدم يوفر واجهة برمجية (API) للبحث في القرآن الكريم مع دعم البحث البسيط والمتقدم، والترجمة الصوتية (Buckwalter)، والاستعلامات المنطقية، والتصفية الصرفية. يمكن استخدامه كمكتبة بايثون أو خدمة ويب، ويدعم MCP للذكاء الاصطناعي.,نشط 🚀,"https://www.alfanous.ai/, https://pypi.org/project/alfanous3/",Yes,"CLI, تطبيق ويب, مكتبة برمجية","القرآن الكريم, محرك بحث, بايثون, API"
مصحف البشير الالكتروني (مبني على مصحف عثمان الالكتروني),Python,رخصة وقف من أعجوبة,https://github.com/yucefsourani/albasheer-electronic-quran-browser,"Albasheer Electronic Quran Browser is an open-source application for displaying the Holy Quran, based on the Othman Electronic Quran Browser project. It features a modern user interface, dark mode support, customizable background and text colors, and supports audio recitations, translations, and tafsir.",مصحف البشير الإلكتروني هو تطبيق مفتوح المصدر لعرض القرآن الكريم، مبني على مشروع مصحف عثمان الإلكتروني. يتميز بواجهة مستخدم حديثة، دعم الوضع الليلي، إمكانية تغيير ألوان الخلفية والنص، ودعم التلاوة الصوتية والترجمات والتفاسير.,نشط 🚀,"https://flathub.org/apps/com.github.yucefsourani.albasheer-electronic-quran-browser, https://copr.fedorainfracloud.org/coprs/youssefmsourani/albasheer/",Yes,برنامج سطح المكتب 💻,القرآن الكريم
قاعدة بيانات القرآن الكريم (Quran Database),"Database, SQLite",حر (دعاء صالح),https://github.com/bilalbentoumi/quran-database,"This project offers a comprehensive SQLite database of the Holy Quran, including information about Surahs such as their Arabic names, English pronunciations, classifications (Meccan or Medinan), number of verses, and content.",يوفر هذا المشروع قاعدة بيانات شاملة للقرآن الكريم بصيغة SQLite، تحتوي على معلومات حول السور، بما في ذلك أسماؤها بالعربية، نطقها بالإنجليزية، تصنيفها (مكية أو مدنية)، عدد الآيات، ومحتوى السور.,متوقف صيانته 😑,https://github.com/bilalbentoumi/quran-database,Yes,"قاعدة بيانات, مصادر",القرآن الكريم
قُطُوْف (Qutuf),"HTML, NLP, Python",رخصة مخصصة (اتصل بالمؤلفين),https://github.com/Qutuf/Qutuf,"An Arabic Morphological Analyzer and Part-Of-Speech Tagger, including stemming and root extraction, serving as the core for Arabic NLP framework.",نظام لتحليل الصرف العربي واستخراج الجذور وتحديد أجزاء الكلام، يُستخدم كإطار عمل شامل لمعالجة اللغة العربية,ميت ☠️,http://Qutuf.com,Yes,"تطبيق ويب, مكتبة برمجية","القرآن الكريم, اللغة عربية, تحليل صرفي, قواعد لغوية, معالجة اللغة الطبيعية"
quran-tajweed,"Dataset, Decision trees, Python, Speech recognition",CC BY 4.0,https://github.com/cpfair/quran-tajweed,"Tajweed annotations for the Qur'an (riwayat hafs). The data is available as a JSON file with exact character indices for each rule, and as individual decision trees for each rule. You can use this data to display the Qur'an with tajweed highlighting, refine models for Qur'anic speech recognition, or - if you enjoy decision trees - improve your own recitation. This project is not actively maintained. An alternative to it is the https://quran.api-docs.io/v4/quran/get-uthmani-script-of-ayah instead.",توضيحات التجويد للقرآن (رواية حفص). تتوفر البيانات كملف JSON يحتوي على مواقع الحروف الدقيقة لكل قاعدة تجويد، وأيضًا كأشجار قرار منفصلة لكل قاعدة. يمكنك استخدام هذه البيانات لعرض القرآن مع تلوين التجويد، تحسين نماذج التعرف على الصوت القرآني، أو - إذا كنت تستمتع بأشجار القرار - تحسين تلاوتك. هذا المشروع توقف العمل عليه. والبديل له مثلا هو واجهة API الخاصة بموقع Quran.com.,متوقف صيانته 😑,https://github.com/cpfair/quran-tajweed,Yes,"سكريبت برمجي, قاعدة بيانات, مصادر","القرآن الكريم, تجويد, تعليم, قواعد لغوية, معالجة اللغة الطبيعية"
اكتشاف الآيات (ayah-detection),"Image processing, Matplotlib, NumPy, OpenCV, Python",غير محددة,https://github.com/quran/ayah-detection,"A set of scripts for detecting ayah markers in Quran images. Tested on three sets of images: Shamerly, Qaloon, and Warsh.",مجموعة من السكريبتات لاكتشاف علامات الآيات في صور القرآن الكريم. تم اختبارها على ثلاث مجموعات من الصور: الشمرلي، قالون، وورش.,متوقف صيانته 😑,https://github.com/quran/ayah-detection,Yes,"سكريبت برمجي, مكتبة برمجية",القرآن الكريم
tajweed,"Java, Utility functions",غير محددة,https://github.com/quran/tajweed,"An open-source project to develop algorithms for highlighting Tajweed rules in Quranic text with color coding, similar to tajweed Mushafs. It supports both Madani and Naskh Mushaf styles and aims to provide educational tools for other projects, including data export options in text, image, and HTML formats.",مشروع مفتوح المصدر لتطوير خوارزميات تمييز أحكام التجويد في النصوص القرآنية بألوان مختلفة كما هو الحال في المصاحف التجويدية، مع دعم لمصحف المدينة ومصحف النسخ. يهدف المشروع لإنتاج أدوات تعليمية يمكن استخدامها من قبل مشاريع أخرى، ويشمل ميزات لتصدير البيانات بصيغ نصية وصورية وHTML.,ميت ☠️,https://github.com/quran/tajweed,Yes,سكريبت برمجي,"القرآن الكريم, اللغة عربية, تجويد"
Ahkam-Al-Tajweed - أحكام التجويد,"Deep Learning, Documents",MIT,https://github.com/malayyoub/Ahkam-Al-Tajweed,This project aims to develop a deep learning-based system to automatically determine the correct application of basic Quranic recitation (Tajweed) rules. The repository includes data and resources related to this objective.,يهدف هذا المشروع إلى تطوير نظام يعتمد على التعلم العميق لتحديد التطبيق الصحيح لقواعد التجويد الأساسية في تلاوة القرآن الكريم. يتضمن المشروع بيانات ومصادر متعلقة بهذا الهدف.,ميت ☠️,https://www.researchgate.net/publication/327869102_A_dataset_of_audio_recordings_by_male_reciters_representing_correctincorrect_applications_of_basic_Quranic_recitation_rules,Yes,مستندات ووثائق,"القرآن الكريم, تجويد"
